host_id,host_name,host_since_year,host_since_anniversary,Customer Since,Age in years,id,neighbourhood_cleansed,city,city_translated,state,state_translated,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,customers @ 50% review rate,"Daily Rev per 2 guests, unless limited to 1",Min Nights,Total Rev,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,zipcode_prefix,zipcode_dummy,Zipcode_mapped_values
26919,Hugo,2009,7/22,7/22/09,7.98,98558,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1011 JX,Netherlands,52.36959599,4.899069358,Apartment,Entire home/apt,2,1,1,1,Real Bed,145,1,0,3,38,145,435,"16,530",within an hour,1,19,99,10,10,10,10,10,9,1011,4,City Center
32366,Sabine & Sander,2009,8/18,8/18/09,7.91,9693,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013,Netherlands,52.37801663,4.892703442,Apartment,Entire home/apt,3,1.5,1,1,Real Bed,132,2,30,4,68,132,528,"35,904",within a day,0.9,34,99,10,10,10,10,10,9,1013,6,City Center
36701,Leonie,2009,9/7,9/7/09,7.85,2323819,Bos en Lommer,Amsterdam,Amsterdam,North Holland,North Holland,1055XP,Netherlands,52.38141023,4.852742701,Apartment,Entire home/apt,2,1,1,1,Real Bed,79,1,0,1,26,79,79,"2,054",within a few hours,1,13,100,10,10,10,10,9,10,1055,31,West
42212,Miguel,2009,9/29,9/29/09,7.79,280105,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013,Netherlands,52.38029988,4.885143665,Apartment,Entire home/apt,4,1,0,2,Real Bed,180,1,65,2,36,245,490,"17,640",within an hour,0.96,18,99,10,10,10,10,10,9,1013,6,City Center
42212,Miguel,2009,9/29,9/29/09,7.79,3527892,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013HE,Netherlands,52.38147315,4.886809875,Loft,Shared room,1,1,1,1,Real Bed,75,1,0,1,4,75,75,300,within an hour,0.96,2,100,10,10,10,10,10,10,1013,6,City Center
42725,Marco,2009,10/1,10/1/09,7.79,933385,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1053,Netherlands,52.36761407,4.866895471,Apartment,Private room,2,1,1,2,Real Bed,82,2,0,2,38,82,164,"6,232",within a few hours,1,19,98,10,10,10,10,10,10,1053,29,West
46431,Jennifer & Michiel,2009,10/17,10/17/09,7.74,1182306,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1059,Netherlands,52.34658737,4.84919711,Apartment,Private room,2,1,1,1,Real Bed,59,1,0,1,116,59,59,"6,844",within a few hours,1,58,95,9,10,9,9,9,9,1059,35,West
59059,Marius,2009,12/1,12/1/09,7.62,75583,Slotervaart,Amsterdam,Amsterdam,North Holland,North Holland,1058,Netherlands,52.36522071,4.838338484,Apartment,Private room,4,1.5,1,2,Real Bed,35,1,30,2,214,65,130,"27,820",within an hour,1,107,99,10,10,10,10,9,10,1058,34,West
59484,Alex,2009,12/2,12/2/09,7.62,20168,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36508703,4.893541008,House,Private room,2,1,1,1,Real Bed,50,2,0,1,50,50,50,"2,500",within an hour,1,25,83,9,9,9,8,10,9,1017,10,City Center
59484,Alex,2009,12/2,12/2/09,7.62,3903880,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36343343,4.892453063,House,Private room,2,4,1,1,Real Bed,50,1,0,1,28,50,50,"1,400",within an hour,1,14,86,9,9,9,9,10,9,1017,10,City Center
62341,Jurgen,2009,12/11,12/11/09,7.59,1030014,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1015 GN,Netherlands,52.38189925,4.882599016,Apartment,Entire home/apt,2,1,1,1,Real Bed,69,1,0,3,26,69,207,"5,382",within an hour,1,13,90,9,8,10,10,10,9,1015,8,City Center
65041,Ym,2009,12/22,12/22/09,7.56,43980,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1054,Netherlands,52.35745628,4.861242085,Apartment,Entire home/apt,4,1,1,2,Real Bed,80,4,10,2,92,80,160,"14,720",within a few hours,0.99,46,77,7,7,9,9,9,8,1054,30,West
65041,Ym,2009,12/22,12/22/09,7.56,85767,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013 NS,Netherlands,52.3881284,4.888545572,Apartment,Entire home/apt,4,1.5,1,4,Real Bed,80,4,10,2,98,80,160,"15,680",within a few hours,0.99,49,73,7,7,8,9,9,7,1013,6,City Center
70937,Tui,2010,1/16,1/16/10,7.49,3739250,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1018 HL,Netherlands,52.36781183,4.923052202,Apartment,Entire home/apt,4,1,1,2,Real Bed,110,2,10,3,10,110,330,"3,300",within an hour,1,5,88,9,10,10,9,8,8,1018,11,City Center
74250,Margreet & Arnout,2010,1/27,1/27/10,7.46,3261215,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1052,Netherlands,52.37501222,4.879694208,Apartment,Private room,2,1,1,1,Real Bed,74,1,0,4,44,74,296,"13,024",within a few hours,0.8,22,97,10,10,10,10,10,10,1052,28,West
77484,Annelies,2010,2/4,2/4/10,7.44,2820641,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1012 ML,Netherlands,52.37785675,4.896534945,Apartment,Entire home/apt,8,1,2,5,Real Bed,250,4,30,3,68,250,750,"51,000",within a few hours,1,34,96,10,10,10,10,10,9,1012,5,City Center
77484,Annelies,2010,2/4,2/4/10,7.44,3302169,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1016 LK,Netherlands,52.37303502,4.876419434,Apartment,Entire home/apt,6,1.5,4,6,Real Bed,200,4,30,3,4,200,600,"2,400",within a few hours,1,2,90,6,8,7,9,9,9,1016,9,City Center
77484,Annelies,2010,2/4,2/4/10,7.44,1756765,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1053 MX,Netherlands,52.36318648,4.867269951,Boat,Entire home/apt,6,1,2,3,Real Bed,180,4,40,3,70,180,540,"37,800",within a few hours,1,35,94,9,9,10,10,9,9,1053,29,West
77484,Annelies,2010,2/4,2/4/10,7.44,743666,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1053,Netherlands,52.36986326,4.872518729,Boat,Entire home/apt,6,1,2,4,Real Bed,200,4,40,3,144,200,600,"86,400",within a few hours,1,72,95,10,9,10,10,10,9,1053,29,West
77484,Annelies,2010,2/4,2/4/10,7.44,468132,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1074 EN,Netherlands,52.35305467,4.90188698,Apartment,Entire home/apt,6,2,2,3,Real Bed,160,4,30,3,104,160,480,"49,920",within a few hours,1,52,89,9,9,10,10,9,9,1074,49,South
77484,Annelies,2010,2/4,2/4/10,7.44,822614,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1073 GG,Netherlands,52.35281266,4.896553574,Apartment,Entire home/apt,6,2,2,3,Real Bed,200,4,30,3,64,200,600,"38,400",within a few hours,1,32,91,9,9,9,10,10,9,1073,48,South
77484,Annelies,2010,2/4,2/4/10,7.44,2396344,Oud-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1091 DM,Netherlands,52.36100828,4.916213631,Apartment,Entire home/apt,6,1.5,2,5,Real Bed,160,4,30,3,50,160,480,"24,000",within a few hours,1,25,89,9,9,10,10,8,8,1091,60,East
77484,Annelies,2010,2/4,2/4/10,7.44,5275545,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1053 NP,Netherlands,52.36129424,4.858443675,Boat,Entire home/apt,4,1,2,3,Real Bed,120,2,30,3,4,120,360,"1,440",within a few hours,1,2,90,10,9,9,10,10,10,1053,29,West
77484,Annelies,2010,2/4,2/4/10,7.44,857794,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017 RD,Netherlands,52.36376239,4.884498735,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,120,2,30,3,90,120,360,"32,400",within a few hours,1,45,92,9,9,10,10,9,9,1017,10,City Center
77484,Annelies,2010,2/4,2/4/10,7.44,236632,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1072 CC,Netherlands,52.35613973,4.888475752,Apartment,Entire home/apt,4,1,1,2,Real Bed,100,2,20,4,78,100,400,"31,200",within a few hours,1,39,96,10,10,10,10,10,9,1072,47,South
77484,Annelies,2010,2/4,2/4/10,7.44,999908,Oud-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1092,Netherlands,52.35674793,4.924005845,Apartment,Entire home/apt,4,1,1,2,Real Bed,75,2,30,5,38,75,375,"14,250",within a few hours,1,19,87,9,9,9,10,9,9,1092,61,East
77484,Annelies,2010,2/4,2/4/10,7.44,2821480,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1012,Netherlands,52.3770844,4.895307225,Apartment,Entire home/apt,4,1,1,4,Real Bed,140,2,30,3,38,140,420,"15,960",within a few hours,1,19,96,10,9,10,10,9,9,1012,5,City Center
77484,Annelies,2010,2/4,2/4/10,7.44,3414536,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1052 EJ,Netherlands,52.37359727,4.873286997,Boat,Entire home/apt,4,1,1,1,Real Bed,160,2,30,3,26,160,480,"12,480",within a few hours,1,13,94,10,10,10,10,9,9,1052,28,West
77484,Annelies,2010,2/4,2/4/10,7.44,2821284,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1012,Netherlands,52.37727689,4.8950297,Apartment,Entire home/apt,4,1,1,2,Real Bed,120,2,30,3,48,120,360,"17,280",within a few hours,1,24,95,10,9,10,10,10,9,1012,5,City Center
78857,Am,2010,2/8,2/8/10,7.43,20818,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36318355,4.89964497,Apartment,Entire home/apt,3,1,1,2,Real Bed,80,2,22,2,4,80,160,640,N/A,N/A,2,100,10,10,10,10,10,10,1017,10,City Center
82145,Wim,2010,2/17,2/17/10,7.4,4069573,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1079 LM,Netherlands,52.34530413,4.911874372,Boat,Entire home/apt,10,2,5,6,Real Bed,206,4,50,3,2,206,618,"1,236",within a few hours,1,1,40,6,4,2,8,8,6,1079,54,South
82145,Wim,2010,2/17,2/17/10,7.4,948808,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1074 JH,Netherlands,52.35280372,4.908385671,Boat,Entire home/apt,6,1,2,3,Real Bed,140,2,35,3,20,140,420,"8,400",within a few hours,1,10,83,8,8,8,9,8,8,1074,49,South
82145,Wim,2010,2/17,2/17/10,7.4,4374110,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1051AL,Netherlands,52.38200517,4.8756299,Boat,Entire home/apt,6,1,2,2,Real Bed,200,4,35,3,4,200,600,"2,400",within a few hours,1,2,90,9,10,10,9,8,8,1051,27,West
82145,Wim,2010,2/17,2/17/10,7.4,2436846,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1016 HG,Netherlands,52.37121579,4.883911014,Boat,Entire home/apt,6,2,2,3,Real Bed,227,4,35,3,36,227,681,"24,516",within a few hours,1,18,87,9,7,10,10,10,8,1016,9,City Center
82145,Wim,2010,2/17,2/17/10,7.4,539036,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1018,Netherlands,52.36265828,4.909767079,Boat,Entire home/apt,4,1,2,2,Real Bed,140,2,35,3,74,140,420,"31,080",within a few hours,1,37,88,9,9,9,9,9,9,1018,11,City Center
82145,Wim,2010,2/17,2/17/10,7.4,85941,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1015 DT,Netherlands,52.37609642,4.884574734,Boat,Entire home/apt,4,1,1,2,Real Bed,200,2,40,3,50,200,600,"30,000",within a few hours,1,25,95,9,9,9,9,10,9,1015,8,City Center
97647,Flip,2010,3/23,3/23/10,7.31,27886,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013,Netherlands,52.38672732,4.89207807,Boat,Entire home/apt,2,1,1,1,Real Bed,135,2,0,2,22,135,270,"5,940",within a few hours,1,11,100,10,10,10,10,9,10,1013,6,City Center
98829,Jelmer & Sarah,2010,3/25,3/25/10,7.31,3985308,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1053,Netherlands,52.36695076,4.867029312,Apartment,Entire home/apt,2,1,1,1,Real Bed,90,1,0,4,18,90,360,"6,480",within an hour,1,9,100,10,10,10,10,10,10,1053,29,West
98844,Manolis,2010,3/25,3/25/10,7.31,178841,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1052,Netherlands,52.38262451,4.878955874,Apartment,Entire home/apt,4,1.5,1,1,Real Bed,95,2,30,3,58,95,285,"16,530",within a few hours,0.8,29,85,9,8,9,9,9,9,1052,28,West
101455,Nazan & Patrick,2010,3/31,3/31/10,7.29,4641463,Centrum-West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1016 BL,Netherlands,52.37148578,4.888167944,Apartment,Entire home/apt,4,1,2,4,Real Bed,179,2,25,2,22,179,358,"7,876",a few days or more,0.4,11,93,9,10,10,10,10,9,1016,9,City Center
106225,Jeff,2010,4/10,4/10/10,7.26,25488,Oostelijk Havengebied - Indische Buurt,Amsterdam,Amsterdam,North Holland,North Holland,1095,Netherlands,52.36500978,4.943572387,Apartment,Entire home/apt,6,1,3,3,Real Bed,120,4,25,4,138,120,480,"66,240",within a few hours,1,69,91,9,9,9,9,8,9,1095,64,East
106225,Jeff,2010,4/10,4/10/10,7.26,253792,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1012,Netherlands,52.37408073,4.897792586,Apartment,Entire home/apt,2,1,1,1,Real Bed,230,2,20,3,30,230,690,"20,700",within a few hours,1,15,98,10,10,10,10,10,9,1012,5,City Center
106241,Tanja,2010,4/10,4/10/10,7.26,25489,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1011,Netherlands,52.37531439,4.903689027,Apartment,Entire home/apt,4,1,2,2,Real Bed,195,2,35,2,50,195,390,"19,500",within an hour,1,25,94,9,10,10,10,10,9,1011,4,City Center
119217,Allan,2010,5/6,5/6/10,7.19,343195,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36436233,4.897554031,House,Private room,2,1,1,1,Real Bed,100,2,0,2,76,100,200,"15,200",within a few hours,1,38,88,9,7,9,10,10,9,1017,10,City Center
119217,Allan,2010,5/6,5/6/10,7.19,78033,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36498595,4.898400166,House,Private room,2,1,1,1,Futon,55,2,0,2,242,55,110,"26,620",within a few hours,1,121,88,9,8,10,9,10,9,1017,10,City Center
123414,Michele,2010,5/12,5/12/10,7.17,28658,De Baarsjes - Oud-West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1056,Netherlands,52.37441423,4.857962927,Apartment,Private room,2,1,1,3,Real Bed,60,2,30,2,436,60,120,"52,320",within an hour,1,218,93,9,10,10,9,9,9,1056,32,West
123414,Michele,2010,5/12,5/12/10,7.17,2405985,Bos en Lommer,Amsterdam,Amsterdam,North Holland,North Holland,1056 GC,Netherlands,52.37529835,4.857196176,Apartment,Private room,2,1,1,1,Real Bed,60,1,0,2,78,60,120,"9,360",within an hour,1,39,89,10,9,10,10,9,9,1056,32,West
124245,Edwin,2010,5/13,5/13/10,7.17,83498,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36722763,4.891235318,Bed & Breakfast,Private room,1,1,1,1,Real Bed,45,1,0,2,170,45,90,"15,300",within a few hours,1,85,93,10,9,10,10,10,9,1017,10,City Center
124912,Samy,2010,5/14,5/14/10,7.17,270777,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1016,Netherlands,52.3678093,4.877908369,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,120,1,0,3,148,120,360,"53,280",within an hour,1,74,93,9,9,9,9,10,9,1016,9,City Center
125667,Mich̬le,2010,5/16,5/16/10,7.16,29217,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1072 AW,Netherlands,52.34975311,4.884765072,Boat,Entire home/apt,4,2,2,2,Real Bed,180,2,0,1,278,180,180,"50,040",within an hour,1,139,87,8,8,9,9,9,8,1072,47,South
125667,Mich̬le,2010,5/16,5/16/10,7.16,4052965,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1072 AW,Netherlands,52.34982879,4.887147116,Boat,Entire home/apt,2,1,0,1,Real Bed,100,1,0,3,62,100,300,"18,600",within an hour,1,31,90,9,9,9,9,9,8,1072,47,South
125667,Mich̬le,2010,5/16,5/16/10,7.16,1018703,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1072 AW,Netherlands,52.3504502,4.8861133,Boat,Entire home/apt,2,1,0,1,Real Bed,100,2,45,3,92,100,300,"27,600",within an hour,1,46,92,9,9,9,9,9,9,1072,47,South
126790,Christopher,2010,5/17,5/17/10,7.16,1088859,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1054,Netherlands,52.36793778,4.876497045,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,1,0,2,36,100,200,"7,200",within an hour,1,18,99,10,9,10,10,10,9,1054,30,West
127233,Ingeborg,2010,5/18,5/18/10,7.16,29554,Centrum-West,Amsterdam,Amsterdam,NH,North Holland,1013,Netherlands,52.38050992,4.894188598,Apartment,Entire home/apt,2,1,1,1,Real Bed,130,1,0,4,126,130,520,"65,520",within a day,0.9,63,96,10,9,10,10,10,9,1013,6,City Center
127233,Ingeborg,2010,5/18,5/18/10,7.16,4120357,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013,Netherlands,52.3805797,4.892336621,Apartment,Entire home/apt,2,1,1,2,Real Bed,110,2,40,3,20,110,330,"6,600",within a day,0.9,10,93,10,10,9,10,10,9,1013,6,City Center
131462,Riccardo,2010,5/25,5/25/10,7.14,30431,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1018,Netherlands,52.36325836,4.908473002,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,120,1,0,3,10,120,360,"3,600",within an hour,1,5,95,10,10,10,10,10,9,1018,11,City Center
133328,Francesca,2010,5/27,5/27/10,7.13,4549116,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1056 DC,Netherlands,52.3706463,4.848612899,Apartment,Private room,1,1,1,1,Real Bed,40,1,0,2,22,40,80,"1,760",within a few hours,0.96,11,96,10,10,10,10,9,9,1056,32,West
133347,Ashly,2010,5/27,5/27/10,7.13,3186920,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1054,Netherlands,52.36750276,4.875253281,Apartment,Entire home/apt,2,1,1,1,Real Bed,95,2,15,2,26,95,190,"4,940",within a few hours,0.76,13,100,10,10,10,10,10,10,1054,30,West
133488,Nienke,2010,5/27,5/27/10,7.13,31080,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1059,Netherlands,52.35132054,4.848382899,Apartment,Entire home/apt,4,1,3,3,Real Bed,180,4,30,4,26,180,720,"18,720",within a few hours,0.89,13,97,10,10,10,10,9,10,1059,35,West
133785,Martijn,2010,5/28,5/28/10,7.13,1819449,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1016 SP,Netherlands,52.36998657,4.879435888,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,0,0,3,2,100,300,600,within a day,1,1,97,10,10,10,10,10,8,1016,9,City Center
140224,Pippa,2010,6/7,6/7/10,7.1,1362929,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013,Netherlands,52.3804423,4.896870326,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,200,4,35,2,18,200,400,"7,200",within a few hours,0.61,9,88,9,8,9,9,8,8,1013,6,City Center
148238,Jeana,2010,6/20,6/20/10,7.07,34357,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1013 WJ,Netherlands,52.39309367,4.872934521,Apartment,Entire home/apt,4,1.5,3,2,Real Bed,129,2,10,4,14,129,516,"7,224",within a few hours,0.9,7,100,10,10,10,10,9,10,1013,6,City Center
148390,Julie,2010,6/20,6/20/10,7.07,1395250,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1015,Netherlands,52.37732083,4.883227809,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,1,0,4,10,80,320,"3,200",N/A,N/A,5,92,9,10,10,10,10,9,1015,8,City Center
160130,Roy,2010,7/7,7/7/10,7.02,1039519,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013,Netherlands,52.37983516,4.892287983,Apartment,Entire home/apt,4,1,1,3,Real Bed,150,2,40,2,18,150,300,"5,400",within a day,1,9,98,10,10,10,10,10,10,1013,6,City Center
164204,Julian,2010,7/12,7/12/10,7.01,38266,Centrum-West,Jordaan,Jordaan,NH,North Holland,1015,Netherlands,52.37465882,4.878832927,Apartment,Entire home/apt,3,1,1,2,Futon,95,2,15,3,356,95,285,"101,460",within a day,0.9,178,99,10,10,10,10,10,10,1015,8,City Center
170371,Bob,2010,7/18,7/18/10,6.99,248461,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1012,Netherlands,52.36614982,4.890281816,Apartment,Entire home/apt,4,1,1,2,Real Bed,89,2,18,2,376,89,178,"66,928",within an hour,0.97,188,91,9,9,10,10,10,9,1012,5,City Center
170371,Bob,2010,7/18,7/18/10,6.99,1055452,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1053 KR,Netherlands,52.36924782,4.871122633,Apartment,Entire home/apt,2,1,1,1,Real Bed,125,1,0,2,60,125,250,"15,000",within an hour,0.97,30,93,9,9,9,10,9,9,1053,29,West
170462,Liedewij,2010,7/18,7/18/10,6.99,39688,Bos en Lommer,Amsterdam,Amsterdam,North Holland,North Holland,1055,Netherlands,52.38018953,4.854581502,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,130,2,20,2,20,130,260,"5,200",within a few hours,0.9,10,100,10,10,10,10,9,9,1055,31,West
172464,Iris,2010,7/19,7/19/10,6.99,3717606,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1079,Netherlands,52.34218309,4.902777408,Apartment,Entire home/apt,4,1,2,2,Real Bed,120,1,0,1,4,120,120,480,N/A,N/A,2,80,9,6,8,8,8,6,1079,54,South
178227,Tom & Anat,2010,7/23,7/23/10,6.98,41075,Bos en Lommer,Amsterdam,Amsterdam,North Holland,North Holland,1055 ZT,Netherlands,52.38353198,4.855511391,Apartment,Entire home/apt,4,1,2,2,Real Bed,67,2,15,2,62,67,134,"8,308",within a few hours,1,31,93,10,8,9,9,8,9,1055,31,West
178294,Minee,2010,7/23,7/23/10,6.98,3749010,IJburg - Zeeburgereiland,Amsterdam,Amsterdam,North Holland,North Holland,1086,Netherlands,52.36125772,4.978977679,House,Entire home/apt,4,1.5,2,4,Real Bed,275,4,45,3,6,275,825,"4,950",within an hour,1,3,90,10,10,10,9,9,8,1086,58,East
178515,Fatih,2010,7/23,7/23/10,6.98,61777,Centrum-West,Jordaan,Jordaan,North Holland,North Holland,1015,Netherlands,52.38105624,4.885679794,Apartment,Entire home/apt,2,1,1,1,Real Bed,76,1,0,4,116,76,304,"35,264",within a day,1,58,92,9,9,9,10,10,9,1015,8,City Center
179958,Karen,2010,7/25,7/25/10,6.97,1758862,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,NH,North Holland,1073CH,Netherlands,52.3552446,4.897286799,Apartment,Entire home/apt,4,1,2,6,Real Bed,89,2,25,4,74,89,356,"26,344",within a few hours,1,37,94,9,10,10,10,10,9,1073,48,South
